X,Y,Rainfall
830607,814883,186
831226,815748,127
831790,813592,175.5
832306,816024,215
834419,812672,216.5
836209,814939,227.5
837298,815215,224
837130,813918,214
838742,816479,224
832977,815184,241.5
833301,815740,233.5
842086,813774,167.5
840267,808547,202.5
833767,814303,241.5
834950,814765,226
840253,815878,195.5
841655,815228,204
833516,811763,173.5
838069,811197,199.5
836346,819525,197.5
836480,822656,220
841188,819957,174
841237,821549,185
842912,817594,178
834530,822371,199
838661,823562,241
842255,818602,161
835336,824813,249.5
838019,827550,215
831354,826091,191
831444,822913,202
832596,839416,156
832387,824958,233
843344,822264,154
839925,830675,242
824255,825495,209
827699,821980,162.5
820220,834088,230
852916,826527,135
830856,830180,350.5
845889,827047,147
845360,819890,155
811397,815539,246
817992,814038,166.5
820783,806952,101.5
809996,818959,120.2
835992,818106,179
844379,819647,143.5
849129,844079,114
835848,819213,167
816376,836612,141.5
842507,837309,123
818989,816953,131.5
844324,807865,168
847605,818730,158.5
840022,816911,153
809814,826689,184.5
835735,834019,209.5
839758,844196,203.5
823527,834511,158
826332,841342,163.5
842651,837641,127
839679,829246,204
808447,816935,151
855177,836887,102.5
851325,829287,137
