X,Y,Rainfall
830607,814883,173
831226,815748,178.5
831790,813592,141.5
832306,816024,160.5
834419,812672,127.5
836209,814939,148
837298,815215,117
837130,813918,137
838742,816479,171.5
832977,815184,169.5
833301,815740,182.5
842086,813774,140
840267,808547,104.5
833767,814303,149.5
834950,814765,155.5
840253,815878,160.5
841655,815228,159.5
833516,811763,112.5
834934,811542,113.5
835927,812499,127.5
833447,816657,149.5
840826,811961,115.5
843747,810697,126.5
844036,814088,132.5
836346,819525,175
836480,822656,257
841188,819957,214
841237,821549,222
842912,817594,170
834530,822371,262.5
838661,823562,276
838209,821503,213
832392,820905,219
835336,824813,276.5
838019,827550,263
831354,826091,241.5
831444,822913,249
832596,839416,232
832387,824958,247
814598,828219,295
843344,822264,219.5
839925,830675,300
824255,825495,205.5
827699,821980,199
820220,834088,270.5
852916,826527,208.5
830856,830180,291
845889,827047,242.5
845360,819890,219
811397,815539,176
817992,814038,161.5
805560,811362,135
849044,816943,188.5
811431,813837,168
811987,810236,125
817864,819365,184
821182,821563,181.5
821936,816232,192
820958,807601,120.5
831596,807431,85
811005,831653,276.5
815827,830636,288
846409,817465,201.5
820392,825596,264.5
821645,829722,306
823229,837363,232
830245,842003,239.5
833331,835601,238.5
829768,832255,290
828849,829689,307.5
828954,826520,272
828714,824832,224.5
832828,827280,281
836677,832233,273.5
837167,825730,184
840187,826944,269.5
842933,831863,262
839249,835337,257
843039,840715,226.5
844657,831931,265
848830,828393,252
812303,825370,261
844960,826228,252.5
844117,802763,130.5
804276,812600,120
828872,839303,220
820783,806952,85.5
829297,823224,165
829665,816236,146
809996,818959,172
835992,818106,177
836961,814640,132
844379,819647,178.5
849129,844079,156.5
830495,832602,250
850236,825687,177.5
829229,809714,87.5
822503,816916,136
842507,837309,208.5
808904,813003,139
818989,816953,125
844324,807865,92
847605,818730,191
840022,816911,154
809814,826689,251.5
819270,838546,216
835735,834019,222
839758,844196,193.5
852003,830428,209.5
823527,834511,267
826332,841342,203
842651,837641,216.5
840021,818970,167.5
826779,832970,243
839679,829246,252
842372,815871,141.5
808447,816935,141
829500,840255,215
832150,821861,224
855177,836887,189
830865,830144,220
814367,827412,237
829155,827155,251
851325,829287,212
834013,813932,134.5
818980,836365,231.5
