X,Y,Rainfall
830607,814883,91.5
831226,815748,113.5
831790,813592,101
832306,816024,134.5
836209,814939,188.5
837298,815215,233.5
837130,813918,221.5
838742,816479,226
832977,815184,127
833301,815740,148.5
842086,813774,188.5
840267,808547,202
833767,814303,134.5
834950,814765,156
840253,815878,228.5
841655,815228,176
833516,811763,95.5
838069,811197,189
834934,811542,122
835927,812499,152.5
833447,816657,127
840826,811961,202
843747,810697,193.5
844036,814088,190
836346,819525,210
836480,822656,209
841188,819957,250
841237,821549,219
842912,817594,220
834530,822371,200.5
838661,823562,237.5
842255,818602,209
838209,821503,172.5
832392,820905,158
835336,824813,198.5
838019,827550,194.5
831354,826091,144.5
831444,822913,167.5
832387,824958,178
814598,828219,110.5
843344,822264,172
839925,830675,196
824255,825495,112.5
827699,821980,119.5
820220,834088,136
852916,826527,79
845889,827047,139
845360,819890,155
811397,815539,141.5
817992,814038,67.5
849044,816943,119
811431,813837,146
811987,810236,75
817864,819365,101.5
821182,821563,83.5
821936,816232,62
820958,807601,82.5
831596,807431,88.5
811005,831653,116
815827,830636,106.5
846409,817465,133
820392,825596,106.5
821645,829722,141.5
823229,837363,105.5
830245,842003,145.5
833331,835601,164.5
829768,832255,235
828849,829689,199
828954,826520,170.5
828714,824832,132.5
832828,827280,207
836677,832233,192
837167,825730,209.5
840187,826944,222.5
842933,831863,185
839249,835337,158.5
843039,840715,173.5
844657,831931,200
848830,828393,113
812303,825370,121.5
844960,826228,157
844117,802763,218
820783,806952,48.5
829297,823224,54.5
829665,816236,72
809996,818959,111.9
835992,818106,211
836961,814640,222
844379,819647,133.5
835848,819213,209.5
850236,825687,68.5
816376,836612,91
822503,816916,38.5
842507,837309,64.5
808904,813003,152.5
818989,816953,87.5
844324,807865,173
847605,818730,109
840022,816911,211
809814,826689,102
819270,838546,128
839758,844196,131
852003,830428,108
823527,834511,152
826332,841342,146
842651,837641,144.5
826779,832970,179
839679,829246,191
842372,815871,162.5
808447,816935,85
829500,840255,137.5
840483,824297,212
834193,843210,126.5
830865,830144,165.5
814367,827412,98
829155,827155,146.5
851325,829287,95
849306,804857,40.5
818980,836365,109
