X,Y,Rainfall
830607,814883,130
831226,815748,133
831790,813592,116.5
832306,816024,97.5
836209,814939,147
837298,815215,164.5
837130,813918,154
838742,816479,323
832977,815184,113
833301,815740,130
842086,813774,157.5
840267,808547,124.5
833767,814303,114
834950,814765,125
840253,815878,278.5
841655,815228,179
833516,811763,101
834934,811542,97
835927,812499,117.5
833447,816657,125
840826,811961,175.5
843747,810697,109.5
844036,814088,112.5
836346,819525,190.5
836480,822656,227
841237,821549,202.5
842912,817594,146.5
834530,822371,193.5
838661,823562,285
838209,821503,283.5
832392,820905,151.5
835336,824813,221.5
838019,827550,184
831354,826091,135.5
831444,822913,131
832596,839416,128.5
832387,824958,151.5
814598,828219,68
843344,822264,157.5
839925,830675,185
824255,825495,114.5
827699,821980,124.5
820220,834088,69.5
852916,826527,114
830856,830180,113
845889,827047,112
845360,819890,121.5
811397,815539,103
817992,814038,126.5
805560,811362,122.5
849044,816943,120
811431,813837,140.5
811987,810236,171.5
817864,819365,93
821182,821563,141
821936,816232,126.5
820958,807601,225
831596,807431,121.5
811005,831653,64
815827,830636,68
846409,817465,132
820392,825596,126.5
821645,829722,80.5
823229,837363,93
830245,842003,118.5
833331,835601,205.5
829768,832255,117.5
828849,829689,120
828954,826520,99
828714,824832,115.5
832828,827280,135.5
836677,832233,211
837167,825730,219
840187,826944,174
842933,831863,181.5
839249,835337,161.5
843039,840715,174
844657,831931,147
812303,825370,60
844960,826228,130.5
844117,802763,100
804276,812600,119
828872,839303,129
820783,806952,183
829297,823224,109
809996,818959,89.1
835992,818106,217.6
836961,814640,153
844379,819647,114
830495,832602,107.5
835848,819213,179
850236,825687,109
829229,809714,96
842507,837309,140
808904,813003,137.5
818989,816953,99.5
844324,807865,104.5
847605,818730,121
840022,816911,253
809814,826689,53.5
819270,838546,122
835735,834019,218.5
839758,844196,122
852003,830428,109.5
823527,834511,64
826332,841342,100.5
842651,837641,149
840021,818970,185
826779,832970,81
839679,829246,149.5
842372,815871,130.5
808447,816935,87
829500,840255,130
832150,821861,125.5
855177,836887,128.5
840483,824297,195
830865,830144,97.5
814367,827412,62.5
829155,827155,87.5
851325,829287,101.5
834013,813932,98
849306,804857,123.5
818980,836365,85
