X,Y,Rainfall
831226,815748,138.5
831790,813592,84.5
834419,812672,130.5
836209,814939,131.5
837298,815215,120.5
837130,813918,143
842086,813774,119.5
840267,808547,111.5
833767,814303,103.5
834950,814765,120.5
840253,815878,116
841655,815228,121
833516,811763,109.5
834934,811542,126
835927,812499,126
833447,816657,133
840826,811961,138.5
843747,810697,147.5
844036,814088,144
836346,819525,119.5
836480,822656,110.5
841237,821549,117.5
834530,822371,118.5
838661,823562,108
842255,818602,111.5
838209,821503,109.5
832392,820905,113
835336,824813,106.5
831354,826091,159.5
831444,822913,134.5
832387,824958,127
814598,828219,59
843344,822264,110.5
839925,830675,66
824255,825495,171.5
827699,821980,177
820220,834088,64
852916,826527,116.5
845889,827047,102
845360,819890,133
811397,815539,77.5
817992,814038,131.5
811431,813837,88.5
811987,810236,61
821182,821563,176.5
821936,816232,156.5
820958,807601,110.5
831596,807431,128
811005,831653,65
815827,830636,72.5
846409,817465,115
820392,825596,78.5
823229,837363,64.5
830245,842003,55
829768,832255,149.5
828849,829689,205
828954,826520,184.5
828714,824832,183.5
832828,827280,161.5
836677,832233,106
837167,825730,115.5
840187,826944,92.5
842933,831863,65
839249,835337,100.5
843039,840715,79.5
844657,831931,101.5
848830,828393,121.5
812303,825370,65
844117,802763,64.5
820783,806952,100
829297,823224,136
862130,845236,90.5
809996,818959,79.2
835992,818106,114.6
844379,819647,115.5
849129,844079,110.5
835848,819213,106
816376,836612,56
822503,816916,167
842507,837309,67
818989,816953,161.5
844324,807865,91.5
840022,816911,101
809814,826689,49.5
819270,838546,49
835735,834019,96.5
839758,844196,62
852003,830428,100.5
823527,834511,60
826332,841342,44.5
842651,837641,52.5
826779,832970,68
839679,829246,60
808447,816935,49
829500,840255,52
855177,836887,82
840483,824297,112
834193,843210,42
830865,830144,161.5
851325,829287,103.5
834013,813932,104
849306,804857,45
