X,Y,Rainfall
830607,814883,62.5
831226,815748,61.5
831790,813592,49.5
832306,816024,62
834419,812672,53
836209,814939,64.5
837298,815215,57.5
837130,813918,57
838742,816479,70.5
832977,815184,59.5
833301,815740,62.5
842086,813774,72
840267,808547,53.5
833767,814303,62.5
834950,814765,66.5
840253,815878,95.5
841655,815228,92
833516,811763,51.5
834934,811542,45
835927,812499,50
833447,816657,59.5
840826,811961,74
843747,810697,79.5
844036,814088,93
837669,811296,52.5
836346,819525,52.5
836480,822656,65.5
841188,819957,115.5
841237,821549,93.5
842912,817594,106.5
834530,822371,68.5
838661,823562,66
842255,818602,107
838209,821503,54
832392,820905,74.5
835336,824813,78
838019,827550,77.5
831354,826091,133
831444,822913,96.5
832596,839416,142.5
832387,824958,107
814598,828219,254.5
843344,822264,121
839925,830675,86
824255,825495,139
827699,821980,117.5
820220,834088,248.5
852916,826527,409
845889,827047,136
845360,819890,128
811397,815539,133
817992,814038,94.5
805560,811362,155.5
849044,816943,217.5
811431,813837,118
811987,810236,67.5
817864,819365,151
821182,821563,150.5
821936,816232,99
820958,807601,53.5
831596,807431,56.5
811005,831653,169.5
815827,830636,259
846409,817465,152
820392,825596,207
821645,829722,246
823229,837363,213
830245,842003,238
833331,835601,141.5
829768,832255,151.5
828849,829689,182
828954,826520,150
828714,824832,147.5
832828,827280,128
836677,832233,118
837167,825730,77
840187,826944,86.5
842933,831863,119.5
839249,835337,99
843039,840715,123
844657,831931,139.5
848830,828393,176.5
812303,825370,226.5
844960,826228,137
844117,802763,72
851547,835422,140
804276,812600,144.5
828872,839303,220.5
820783,806952,44
829297,823224,107.5
862130,845236,267
809996,818959,142.1
835992,818106,53.7
836961,814640,50
849129,844079,112
830495,832602,141
835848,819213,49.8
850236,825687,273
829229,809714,45
816376,836612,194
822503,816916,82.5
842507,837309,94.5
856304,824741,474
808904,813003,101.5
818989,816953,121.5
844324,807865,67.5
847605,818730,213.5
840022,816911,79.5
809814,826689,179.5
819270,838546,239
835735,834019,123
839758,844196,85.5
852003,830428,268
826332,841342,184
842651,837641,100
840021,818970,70.5
826779,832970,160.5
839679,829246,72
842372,815871,80.5
808447,816935,116.5
829500,840255,202.5
832150,821861,78
855177,836887,192
840483,824297,85.5
834193,843210,134
816738,829812,254.1
830865,830144,164
814367,827412,216.5
829155,827155,140.5
851325,829287,299
834013,813932,53.5
849306,804857,78.5
818980,836365,221
