X,Y,Rainfall
830607,814883,144
831226,815748,146.5
832306,816024,179
834419,812672,128.5
836209,814939,123
837298,815215,112
837130,813918,127.5
838742,816479,105.5
832977,815184,130.5
833301,815740,139
842086,813774,119.5
840267,808547,39.5
833767,814303,122
840253,815878,98.5
841655,815228,97.5
833516,811763,103
838069,811197,62
836346,819525,212
836480,822656,322.5
841188,819957,253.5
841237,821549,326.5
842912,817594,162
834530,822371,347
838661,823562,290.5
842255,818602,223
835336,824813,310
838019,827550,200
831354,826091,128.5
831444,822913,366.5
832596,839416,22
832387,824958,302.5
814598,828219,69
843344,822264,316
839925,830675,76.5
824255,825495,50.5
827699,821980,283
820220,834088,85.5
852916,826527,85
830856,830180,124.5
845889,827047,143
845360,819890,238
811397,815539,38
817992,814038,47
820783,806952,49
809996,818959,25
835992,818106,150.2
844379,819647,262
849129,844079,7.5
842507,837309,33.5
826779,832970,56
839679,829246,116.5
855177,836887,40.5
834193,843210,21.5
851325,829287,53
