X,Y,Rainfall
830607,814883,212
831226,815748,245.5
831790,813592,213.5
832306,816024,258.5
834419,812672,237
836209,814939,286
837130,813918,277.5
838742,816479,262
832977,815184,263.5
833301,815740,261
842086,813774,271
840267,808547,218.5
833767,814303,224
834950,814765,246
840253,815878,264.5
841655,815228,253.5
833516,811763,187.5
838069,811197,245.5
836346,819525,197
836480,822656,158
841188,819957,155.5
841237,821549,151
842912,817594,183
834530,822371,160
838661,823562,178.5
842255,818602,169.5
835336,824813,171
838019,827550,122
831354,826091,157
831444,822913,171
832596,839416,111.5
832387,824958,173.5
814598,828219,129
843344,822264,158
839925,830675,145.5
824255,825495,219
827699,821980,242
820220,834088,104
852916,826527,172.5
830856,830180,155
845889,827047,160.5
845360,819890,161.5
811397,815539,146.5
817992,814038,129.5
820783,806952,75.5
862130,845236,16.5
835992,818106,238.9
844379,819647,136.5
849129,844079,54
835848,819213,196
816376,836612,85.5
842507,837309,91.5
818989,816953,140
844324,807865,169
840022,816911,220
809814,826689,143
819270,838546,59
835735,834019,110
839758,844196,65.5
852003,830428,130.5
823527,834511,75.5
826332,841342,73.5
842651,837641,76.5
839679,829246,64.5
855177,836887,54
834193,843210,91
851325,829287,147.5
