X,Y,Rainfall
830607,814883,88
831226,815748,47.5
831790,813592,12.5
832306,816024,101.5
834419,812672,1.5
836209,814939,133
837298,815215,139.5
837130,813918,68.5
838742,816479,160
832977,815184,125.5
833301,815740,123
842086,813774,92
840267,808547,0
833767,814303,73.5
834950,814765,114.5
840253,815878,163.5
841655,815228,159
833516,811763,0
838069,811197,0
834934,811542,0
835927,812499,1
840826,811961,4.5
843747,810697,9.5
844036,814088,191
836346,819525,69.5
836480,822656,171.5
841188,819957,149
841237,821549,121
842912,817594,210.5
834530,822371,161.5
838661,823562,166
842255,818602,186
838209,821503,100
832392,820905,120
835336,824813,94.5
838019,827550,25
831354,826091,1
831444,822913,98.5
832596,839416,4
832387,824958,46
814598,828219,17
843344,822264,141
839925,830675,15
824255,825495,24.5
827699,821980,27.5
820220,834088,22
852916,826527,68
830856,830180,19.5
845889,827047,67
845360,819890,174
811397,815539,12
817992,814038,24.5
805560,811362,3.5
849044,816943,219.5
811431,813837,10
811987,810236,1.5
817864,819365,5
821182,821563,13
821936,816232,42.5
820958,807601,0
831596,807431,0
811005,831653,18
815827,830636,14
846409,817465,219
820392,825596,39
821645,829722,11.5
823229,837363,12.5
830245,842003,7
833331,835601,7.5
829768,832255,9
828849,829689,16.5
828954,826520,21.5
828714,824832,30
832828,827280,35
836677,832233,12.5
837167,825730,48.5
840187,826944,45
842933,831863,15
839249,835337,19
843039,840715,6
844657,831931,14
812303,825370,33
844960,826228,94
844117,802763,0
820783,806952,0
829297,823224,21
862130,845236,4.5
809996,818959,6.3
835992,818106,54.9
844379,819647,148.5
849129,844079,4
835848,819213,57
816376,836612,4
842507,837309,19
818989,816953,30
844324,807865,0
847605,818730,145
840022,816911,161
809814,826689,17
819270,838546,3.5
835735,834019,11
839758,844196,7
852003,830428,30
823527,834511,10.5
826332,841342,3
842651,837641,10
826779,832970,7.5
839679,829246,22
808447,816935,6
855177,836887,25
840483,824297,134
834193,843210,5.5
830865,830144,17
851325,829287,49.5
