X,Y,Rainfall
830607,814883,134
831226,815748,138
831790,813592,129
832306,816024,147
834419,812672,102
836209,814939,131.5
837298,815215,133
837130,813918,117.5
838742,816479,144
832977,815184,154
833301,815740,156.5
842086,813774,100.5
840267,808547,163
833767,814303,118
834950,814765,110.5
840253,815878,161.5
841655,815228,118.5
833516,811763,104.5
838069,811197,96.5
834934,811542,101
835927,812499,118.5
833447,816657,167
843747,810697,148
844036,814088,108.5
836346,819525,157
836480,822656,184.5
841188,819957,167.5
841237,821549,141.5
842912,817594,152
834530,822371,143.5
838661,823562,159.5
842255,818602,166.5
838209,821503,152
832392,820905,158
835336,824813,160.5
838019,827550,158
831354,826091,154
831444,822913,165
832596,839416,359.5
832387,824958,139.5
814598,828219,210.5
843344,822264,152.5
839925,830675,233
824255,825495,307
827699,821980,188
820220,834088,199
852916,826527,222.5
830856,830180,205
845889,827047,204
845360,819890,136
811397,815539,288
817992,814038,286.5
805560,811362,240.5
849044,816943,114
811431,813837,247.5
811987,810236,247.5
817864,819365,366.5
821182,821563,346
821936,816232,245
820958,807601,152
831596,807431,101
811005,831653,148.5
815827,830636,181
846409,817465,116.5
820392,825596,404
823229,837363,202.5
830245,842003,268
833331,835601,367.5
829768,832255,438.5
828849,829689,269
828954,826520,186.5
828714,824832,170.5
832828,827280,145
836677,832233,163
837167,825730,171
840187,826944,183.5
842933,831863,220
839249,835337,153
843039,840715,297.5
844657,831931,245
848830,828393,212
812303,825370,184
844960,826228,205
844117,802763,146
820783,806952,141.5
829297,823224,151.5
809996,818959,158
835992,818106,141.1
844379,819647,137
835848,819213,140
816376,836612,126.5
842507,837309,278.5
844324,807865,171
847605,818730,78
840022,816911,157.5
809814,826689,141
819270,838546,125
835735,834019,162.5
839758,844196,224.5
852003,830428,175.5
823527,834511,281
826332,841342,162.5
842651,837641,231
826779,832970,408.5
808447,816935,250
855177,836887,272
840483,824297,163
834193,843210,258
830865,830144,185.5
851325,829287,113
849306,804857,141
