X,Y,Rainfall
830607,814883,57
831226,815748,74.5
831790,813592,69
832306,816024,71.5
836209,814939,115.5
837298,815215,108
837130,813918,105.5
838742,816479,108
832977,815184,83
833301,815740,98
842086,813774,55
840267,808547,57.5
833767,814303,106.5
834950,814765,109.5
840253,815878,79
841655,815228,60
833516,811763,73.5
838069,811197,88
834934,811542,87.5
835927,812499,92.5
833447,816657,80
840826,811961,58
843747,810697,31.5
844036,814088,38.5
836346,819525,93
836480,822656,121.5
841188,819957,77.5
841237,821549,70.5
842912,817594,48.5
834530,822371,101
838661,823562,106.5
842255,818602,56
838209,821503,93.5
832392,820905,84.5
835336,824813,112.5
838019,827550,115.5
831354,826091,94
831444,822913,84
832596,839416,111.5
832387,824958,105
814598,828219,89.5
843344,822264,45
824255,825495,56
827699,821980,61.5
820220,834088,43.5
852916,826527,30.5
830856,830180,114.5
845889,827047,23
845360,819890,35
811397,815539,113
817992,814038,52.5
849044,816943,17
811431,813837,99.5
811987,810236,54.5
817864,819365,68
821182,821563,50.5
821936,816232,44
820958,807601,47
831596,807431,71
811005,831653,56
815827,830636,77
846409,817465,26.5
820392,825596,55.5
821645,829722,73.5
823229,837363,43
830245,842003,76
833331,835601,125
829768,832255,96
828849,829689,99
828954,826520,75
828714,824832,69
832828,827280,113
836677,832233,130.5
837167,825730,99.5
840187,826944,144.5
842933,831863,109.5
839249,835337,200
843039,840715,78.5
844657,831931,55
848830,828393,36.5
812303,825370,66.5
844960,826228,35
820783,806952,34
829297,823224,45.5
862130,845236,28
829665,816236,46
809996,818959,83.4
835992,818106,95.4
836961,814640,107
844379,819647,35.5
835848,819213,97.5
850236,825687,17
816376,836612,45.5
842507,837309,53.5
818989,816953,63
844324,807865,24.5
847605,818730,18
840022,816911,78.5
809814,826689,58
819270,838546,43.5
835735,834019,109.5
839758,844196,250.5
852003,830428,40.5
823527,834511,47.5
826332,841342,60
842651,837641,98
826779,832970,63
842372,815871,47.5
808447,816935,96.5
829500,840255,64.5
834193,843210,96.5
830865,830144,92
814367,827412,72
829155,827155,70
851325,829287,34
834013,813932,84
849306,804857,11.5
818980,836365,40.5
