X,Y,Rainfall
830607,814883,57
831226,815748,57
831790,813592,65.5
832306,816024,80.5
834419,812672,112
836209,814939,105.5
837298,815215,104
837130,813918,94.5
838742,816479,96.5
832977,815184,90
833301,815740,90.5
842086,813774,100.5
840267,808547,82.5
833767,814303,104.5
834950,814765,101
840253,815878,95
841655,815228,102
833516,811763,94
838069,811197,79
836346,819525,96
836480,822656,88
841188,819957,86.5
841237,821549,94.5
842912,817594,91.5
834530,822371,102
838661,823562,96
835336,824813,105.5
838019,827550,111.5
831354,826091,148.5
831444,822913,78
832596,839416,122.5
832387,824958,117
814598,828219,82.5
843344,822264,81
839925,830675,161.5
824255,825495,81
827699,821980,75
820220,834088,93.5
852916,826527,96
845889,827047,94.5
845360,819890,100
811397,815539,27.5
817992,814038,26.5
820783,806952,69.5
862130,845236,139
809996,818959,36.4
835992,818106,93.9
844379,819647,95
835848,819213,83.5
816376,836612,76
842507,837309,286.5
818989,816953,27.5
844324,807865,68
840022,816911,85.5
809814,826689,75.5
835735,834019,318
839758,844196,146.5
823527,834511,64
826332,841342,73.5
842651,837641,253
839679,829246,120.5
808447,816935,24.5
855177,836887,169.5
851325,829287,122.5
849306,804857,42
