X,Y,Rainfall
830607,814883,134.5
831226,815748,159
831790,813592,109.5
832306,816024,150
834419,812672,128
836209,814939,139.5
837298,815215,133.5
838742,816479,132
832977,815184,130
833301,815740,157.5
842086,813774,114
840267,808547,75
833767,814303,132.5
834950,814765,137
840253,815878,131
841655,815228,138.5
833516,811763,109
838069,811197,103.5
834934,811542,90.5
835927,812499,123.5
833447,816657,163
840826,811961,104
843747,810697,85
844036,814088,108.5
836346,819525,195
836480,822656,213.5
841188,819957,182
841237,821549,198.5
842912,817594,141.5
834530,822371,223
838661,823562,217
842255,818602,152
832392,820905,201.5
835336,824813,241
838019,827550,213
831354,826091,242.5
831444,822913,225
832596,839416,172
832387,824958,241
814598,828219,247
843344,822264,185
839925,830675,181
824255,825495,233.5
827699,821980,232.5
820220,834088,217.5
852916,826527,329.5
830856,830180,239
845889,827047,239
845360,819890,162
811397,815539,159
817992,814038,136
805560,811362,149.5
849044,816943,107
811431,813837,141
811987,810236,111
817864,819365,212.5
821182,821563,221.5
821936,816232,137.5
820958,807601,88.5
831596,807431,94.5
811005,831653,183
815827,830636,243
846409,817465,151
820392,825596,237.5
821645,829722,234.5
823229,837363,174.5
830245,842003,204
833331,835601,222.5
829768,832255,235.5
828849,829689,232.5
828954,826520,237.5
828714,824832,226.5
832828,827280,247.5
836677,832233,194
837167,825730,241
840187,826944,214
842933,831863,181.5
839249,835337,210.5
843039,840715,156
844657,831931,213
848830,828393,222
812303,825370,207.5
844960,826228,258.5
820783,806952,88
829297,823224,197
809996,818959,174.7
835992,818106,161.5
844379,819647,145
835848,819213,181
816376,836612,145.5
822503,816916,109.5
818989,816953,134.5
844324,807865,83.5
847605,818730,136
840022,816911,123
809814,826689,203
835735,834019,196
839758,844196,167.5
852003,830428,202.5
826332,841342,156.5
842651,837641,166.5
826779,832970,204
839679,829246,178
808447,816935,143.5
829500,840255,167
855177,836887,160.5
834193,843210,177.5
829155,827155,203.5
851325,829287,189.5
834013,813932,152.5
849306,804857,57
818980,836365,178
