X,Y,Rainfall
830607,814883,173
831226,815748,182
831790,813592,151.5
832306,816024,197.5
834419,812672,154
836209,814939,211
837298,815215,235
837130,813918,211.5
838742,816479,86.5
832977,815184,175.5
833301,815740,187
842086,813774,180
840267,808547,165
833767,814303,180
834950,814765,189.5
840253,815878,223.5
841655,815228,193.5
833516,811763,150
838069,811197,184
834934,811542,145.5
835927,812499,168
833447,816657,167.5
840826,811961,192.5
843747,810697,142
844036,814088,147
836346,819525,252
836480,822656,222.5
841188,819957,264.5
841237,821549,230.5
842912,817594,163.5
834530,822371,193
838661,823562,186.5
842255,818602,215
838209,821503,229.5
832392,820905,209
835336,824813,191
838019,827550,253.5
831354,826091,178.5
831444,822913,195
832596,839416,198.5
832387,824958,182.5
814598,828219,115.5
843344,822264,258.5
839925,830675,262
824255,825495,173
827699,821980,187
820220,834088,145
852916,826527,137.5
830856,830180,206
845889,827047,190.5
845360,819890,195
817992,814038,166.5
805560,811362,174
849044,816943,108.5
811431,813837,186
811987,810236,120.5
817864,819365,216.5
821182,821563,187
821936,816232,134.5
820958,807601,147.5
831596,807431,146.5
811005,831653,102.5
815827,830636,103.5
846409,817465,152
820392,825596,204
821645,829722,188.5
823229,837363,158.5
830245,842003,230
833331,835601,265.5
829768,832255,207.5
828849,829689,208
828954,826520,186
828714,824832,181
832828,827280,188.5
836677,832233,244
837167,825730,223
840187,826944,303
842933,831863,271.5
839249,835337,245
843039,840715,226.5
844657,831931,231.5
848830,828393,188
812303,825370,124.5
844960,826228,211
820783,806952,115.5
829297,823224,113
862130,845236,185
829665,816236,152
809996,818959,172.1
835992,818106,237.4
844379,819647,169
835848,819213,219
816376,836612,100
822503,816916,124
842507,837309,88.5
808904,813003,175.5
818989,816953,162
844324,807865,107.5
847605,818730,123.5
840022,816911,210
809814,826689,103
819270,838546,133
835735,834019,227.5
839758,844196,224.5
852003,830428,173.5
823527,834511,162.5
826332,841342,170
842651,837641,201.5
826779,832970,151
839679,829246,246.5
842372,815871,146.5
808447,816935,118
829500,840255,206
855177,836887,213
840483,824297,253
834193,843210,167.5
830865,830144,158
814367,827412,105.5
829155,827155,147
851325,829287,147
834013,813932,140.5
849306,804857,34.5
818980,836365,127.5
