X,Y,Rainfall
830607,814883,55
831226,815748,64
831790,813592,59.5
832306,816024,75
834419,812672,101
836209,814939,106.5
837298,815215,116.5
837130,813918,127
838742,816479,141.5
832977,815184,80
833301,815740,84
842086,813774,126
840267,808547,97
833767,814303,86
834950,814765,82.5
840253,815878,167
841655,815228,152
833516,811763,77
838069,811197,107
836346,819525,100
836480,822656,116
841188,819957,101.5
841237,821549,110
842912,817594,122
834530,822371,76
838661,823562,107
842255,818602,112.5
835336,824813,127.5
838019,827550,113.5
831354,826091,79.5
831444,822913,67
832596,839416,177
832387,824958,76
814598,828219,186.5
843344,822264,131
839925,830675,213.5
824255,825495,119.5
827699,821980,87
820220,834088,169
830856,830180,143
845889,827047,124.5
845360,819890,107.5
811397,815539,155
820783,806952,74
862130,845236,40
809996,818959,144.9
835992,818106,80.1
844379,819647,97
849129,844079,133
835848,819213,83.5
816376,836612,140.5
842507,837309,136
818989,816953,103.5
844324,807865,66
847605,818730,83
840022,816911,119.5
809814,826689,136.5
835735,834019,172.5
839758,844196,346.5
852003,830428,82
823527,834511,154
826332,841342,99
842651,837641,123
826779,832970,117
839679,829246,163.5
808447,816935,142.5
855177,836887,74
840483,824297,96
830865,830144,116
851325,829287,86
849306,804857,22.5
