X,Y,Rainfall
832306,816024,279.5
836209,814939,228
837298,815215,208.5
837130,813918,228
838742,816479,222.5
833301,815740,282.5
834950,814765,224.5
833447,816657,295
836346,819525,271.5
836480,822656,260.5
841237,821549,221.5
842912,817594,217
834530,822371,216.5
838661,823562,233.5
842255,818602,223
838209,821503,262.5
832392,820905,112
831444,822913,177.5
837167,825730,232.5
840187,826944,206
820783,806952,170.5
829297,823224,136
809996,818959,110.4
835992,818106,256.1
835848,819213,257.5
816376,836612,116
822503,816916,134
844324,807865,98
840022,816911,211.5
809814,826689,90
819270,838546,114.5
835735,834019,199
839758,844196,209
852003,830428,189
823527,834511,143.5
826332,841342,111.5
842651,837641,143
826779,832970,133
839679,829246,154
808447,816935,100
829500,840255,124
855177,836887,166
834193,843210,140.5
830865,830144,223.5
851325,829287,188.5
