X,Y,Rainfall
830607,814883,153.5
831226,815748,157
831790,813592,146.5
832306,816024,147
834419,812672,164
836209,814939,137
837298,815215,124.5
837130,813918,137.5
838742,816479,100.5
832977,815184,164.5
833301,815740,158.5
842086,813774,114
840267,808547,103
833767,814303,161.5
834950,814765,144.5
840253,815878,102.5
841655,815228,107.5
833516,811763,147
838069,811197,137.5
834934,811542,94.5
835927,812499,137.5
833447,816657,132.5
840826,811961,135.5
843747,810697,120
844036,814088,96.5
836346,819525,77.5
836480,822656,81.5
841188,819957,95
841237,821549,87.5
842912,817594,115
834530,822371,83
838661,823562,93
842255,818602,95
838209,821503,78.5
832392,820905,120
835336,824813,89.5
838019,827550,68.5
831354,826091,113
831444,822913,100.5
832596,839416,71.5
832387,824958,96
814598,828219,96.5
843344,822264,79.5
839925,830675,66.5
824255,825495,106
827699,821980,122.5
820220,834088,112
852916,826527,55.5
830856,830180,112
845889,827047,65
845360,819890,90.5
811397,815539,110.5
817992,814038,110.5
805560,811362,122
849044,816943,108
811431,813837,135.5
811987,810236,118.5
817864,819365,118.5
821182,821563,112.5
821936,816232,120.5
820958,807601,76
831596,807431,130.5
811005,831653,60.5
815827,830636,99.5
846409,817465,112.5
820392,825596,127
821645,829722,114
823229,837363,108.5
830245,842003,68.5
833331,835601,77
829768,832255,132.5
828849,829689,123.5
828954,826520,231.5
828714,824832,110.5
832828,827280,101.5
836677,832233,74
837167,825730,87.5
840187,826944,79
842933,831863,46
839249,835337,47
843039,840715,30
844657,831931,58
848830,828393,47.5
812303,825370,94
844960,826228,78.5
844117,802763,92
820783,806952,68.5
829297,823224,86.5
862130,845236,11
809996,818959,91.2
835992,818106,85.4
844379,819647,83.5
835848,819213,80.5
816376,836612,89.5
822503,816916,85
842507,837309,10.5
818989,816953,112
844324,807865,80
847605,818730,84.5
840022,816911,91.5
809814,826689,86
819270,838546,81
835735,834019,67.5
839758,844196,26.5
852003,830428,34
823527,834511,94.5
826332,841342,44.5
842651,837641,33
826779,832970,90.5
839679,829246,71
808447,816935,73
855177,836887,20
840483,824297,73.5
834193,843210,30
830865,830144,103
851325,829287,33
849306,804857,48
