X,Y,Rainfall
830607,814883,101.5
831226,815748,91
831790,813592,84
832306,816024,97
834419,812672,81
836209,814939,101
837298,815215,75.5
837130,813918,77.5
832977,815184,91
842086,813774,74
840267,808547,68
833767,814303,84
834950,814765,87
840253,815878,95.5
841655,815228,68
833516,811763,71
838069,811197,77
834934,811542,64.5
835927,812499,84.5
833447,816657,74.5
840826,811961,75
844036,814088,61
836346,819525,113.5
842912,817594,81
838661,823562,141.5
842255,818602,90
838209,821503,119.5
835336,824813,150.5
838019,827550,123.5
831354,826091,139.5
832596,839416,119.5
832387,824958,150.5
814598,828219,110
843344,822264,107.5
824255,825495,98
827699,821980,114
820220,834088,94.5
852916,826527,83.5
845889,827047,122
845360,819890,87
811397,815539,198.5
817992,814038,106
805560,811362,183.5
849044,816943,50.5
811431,813837,188
811987,810236,107
817864,819365,148
821182,821563,89
821936,816232,101
820958,807601,114
831596,807431,81.5
811005,831653,129.5
815827,830636,82
846409,817465,59
820392,825596,100.5
823229,837363,104
830245,842003,159.5
833331,835601,169.5
829768,832255,223
828849,829689,196.5
828954,826520,139.5
828714,824832,105
832828,827280,197
836677,832233,143
837167,825730,122.5
840187,826944,129
842933,831863,97.5
839249,835337,80
843039,840715,86
844657,831931,87.5
848830,828393,96.5
812303,825370,116
844960,826228,108
844117,802763,47.5
820783,806952,84
829297,823224,50
829665,816236,81.5
809996,818959,160.5
835992,818106,99.3
844379,819647,72.5
816376,836612,60
822503,816916,65.5
808904,813003,191
818989,816953,110
844324,807865,47
847605,818730,56.5
840022,816911,78.5
809814,826689,106.5
819270,838546,88
835735,834019,119
839758,844196,76.5
826332,841342,159
842651,837641,58.5
839679,829246,110.5
842372,815871,58
808447,816935,66
829500,840255,151
840483,824297,99
834193,843210,77
814367,827412,95
829155,827155,126.5
851325,829287,74.5
834013,813932,77
849306,804857,39
818980,836365,81.5
