X,Y,Rainfall
831226,815748,66
831790,813592,49
832306,816024,93.5
834419,812672,57
836209,814939,111
837298,815215,121
837130,813918,99
838742,816479,115
832977,815184,82.5
833301,815740,99
842086,813774,141.5
833767,814303,78.5
834950,814765,107
840253,815878,125.5
833516,811763,38.5
834934,811542,44
835927,812499,72
833447,816657,97.5
843747,810697,138.5
844036,814088,162.5
836346,819525,91
836480,822656,59.5
841188,819957,63.5
841237,821549,49.5
834530,822371,54.5
838661,823562,38.5
842255,818602,88.5
838209,821503,61
832392,820905,78
835336,824813,45
831354,826091,32.5
831444,822913,68
832596,839416,20.5
832387,824958,43
814598,828219,19.5
843344,822264,52
839925,830675,42
824255,825495,43.5
827699,821980,65.5
820220,834088,14
852916,826527,232.5
845889,827047,102
845360,819890,94.5
811397,815539,5
817992,814038,10.5
805560,811362,1.5
811431,813837,2.5
811987,810236,5
817864,819365,15.5
821182,821563,27.5
821936,816232,21
820958,807601,15
831596,807431,77.5
811005,831653,9.5
815827,830636,14
846409,817465,99
820392,825596,40
821645,829722,24
823229,837363,12.5
830245,842003,21.5
833331,835601,26.5
829768,832255,21.5
828849,829689,31.5
828954,826520,43.5
828714,824832,50.5
832828,827280,39
836677,832233,41.5
837167,825730,42.5
840187,826944,38.5
842933,831863,63
839249,835337,65
843039,840715,51
844657,831931,89
848830,828393,173
812303,825370,14.5
844960,826228,88
844117,802763,114
820783,806952,13.5
829297,823224,50
862130,845236,91.5
809996,818959,6.3
835992,818106,83.9
844379,819647,66.5
849129,844079,66.5
835848,819213,79
816376,836612,8.5
822503,816916,21.5
842507,837309,44
844324,807865,158
847605,818730,88.5
840022,816911,93
809814,826689,8
819270,838546,11
835735,834019,49
839758,844196,33
852003,830428,97
823527,834511,17
826332,841342,12
842651,837641,30
826779,832970,17
839679,829246,41
808447,816935,3
829500,840255,14
855177,836887,79.5
840483,824297,38
834193,843210,21.5
830865,830144,26.5
851325,829287,147
849306,804857,108.5
